1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
180;Datum van markthuurschatting;5;EstimateMarketRentDate;EstimateMarketRentDate;Date;; ; ;3;;;;;;;;3
181;Object oppervlakte;5;ObjectAreaMeasurement;ObjectAreaMeasurement;Abstract;;; ;3;;;;;;;;3
182;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;;;3;;;;;;;;3
183;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;;;3;;;;;;;;3
184;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
185;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
186;Verhuurde oppervlakte;5;AreaLeased;AreaLeased;String;; ; ;3;;;;;;;;1
187;Opgemeten verhuurde oppervlakte methode;5;AreaLeasedMethod;AreaLeasedMethod;Enumeration;; ; ;3;;;;;;;;1
188;Brontype oppervlakte;5;AreaSourceType;AreaSourceType;Enumeration;; ; ;3;;;;;;;;3
189;Datum opgemete oppervlakte;5;AreaMeasuredDate;AreaMeasuredDate;Date;; ; ;3;;;;;;;;3
190;Objectindexering;5;ObjectIndexation;ObjectIndexation;Abstract;;; ;3;;;;;;;;3
191;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;; ;3;;;;;;;;3
192;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;; ;3;;;;;;;;3
193;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
194;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;; ;3;;;;;;;;3
195;Gebruikte index;5;IndexUsed;IndexUsed;String;; ; ;3;??;;;;;;;3
196;Beschrijving van de gebruikte index;5;IndexUsedDescription;IndexUsedDescription;String;; ; ;3;;;;;;;;3
197;Noemer methode;5;DenominationMethod;DenominationMethod;String;; ; ;3;;;;;;;;3
198;Aantal vertragingsmaanden als index teller;5;IndexDelayNominator;IndexDelayNominator;String;; ; ;3;??;;;;;;;3
199;Aantal vertragingsmaanden als index noemer;5;IndexDelayDenominator;IndexDelayDenominator;String;; ; ;3;??;;;;;;;3
